Dealer,Invoice No,Date,Billed To,No. of Items,Total Qty (pcs),Taxable Value,GST,Grand Total,Notes
B.P. Pharma,328,7/4/2026,CLD Surgical,5,,7446.7,372.34,7819,
B.P. Pharma,329,7/4/2026,CLD Surgical,2,124,2547.76,127.38,2675,
B.P. Pharma,335,7/7/2026,CLD Surgical,17,,4809.05,240.46,5050,
B.P. Pharma,340,7/8/2026,CLD Surgical,6,,3105.75,155.3,3261,
B.P. Pharma,348,7/7/2026,CLD Surgical,,,5107.36,255.36,5363,Creased photo - verify
B.P. Pharma,349,7/10/2026,CLD Surgical,1,30,1204.5,60.22,1265,
B.P. Pharma,355,7/13/2026,CLD Surgical,13,,8157.73,407.92,8566,A near-duplicate photo showed 8500.00 - verify
B.P. Pharma,365,7/14/2026,CLD Surgical,2,2,14879.28,743.98,15623,
B.P. Pharma,371,7/16/2026,CLD Surgical,4,,7009,350.46,7359,
B.P. Pharma,375,7/17/2026,CLD Surgical,1,5,3470,173.5,3644,
B.P. Pharma,380,7/18/2026,CLD Surgical,1,2,6314.4,45.72,960,Net of a sale return (Knee O Drape qty 4)
B.P. Pharma,387,7/21/2026,CLD Surgical,16,,10546.75,527.34,11074,
B.P. Pharma,392,7/22/2026,CLD Surgical,1,5,,,1372,Full Gown - invoice no approximate
B.P. Pharma,393,7/22/2026,CLD Surgical,3,,2638,374.36,3012,
Chirag Enterprises,(not legible),,CLD Surgical,,,24357.2,,25575,Upside-down photo - re-send for line items & invoice no
Hariom Pharmaceuticals,HP/1616,7/13/2026,CLD Surgical,1,,6546.49,327.32,6874,Upside-down photo - verify
Niharika Enterprise,A000556,7/21/2026,Digga Health Care,1,1,628.65,31.44,660,FL Knee Brace Long XL
Unknown (handwritten cash memo),(none),,,1,10,,,2000,Ketamine 10 x 200 - no dealer/date printed
M.R. Pharmaceutical,MR000994,10/08/2026,CLD Surgical,5,45,761.8,38.1,800.0,
B.P. Pharma,463,08/08/2026,CLD Surgical,4,56,5274.0,263.7,5538.0,
B.P. Pharma,467,08/08/2026,CLD Surgical,3,36,1275.0,63.76,1339.0,Handwritten note: 1000 paid + Due 339
M.R. Pharmaceutical,MR001009,12/08/2026,CLD Surgical,2,13,15150.0,757.5,15908.0,
B.P. Pharma,485,12/08/2026,CLD Surgical,2,3,977.0,48.86,1026.0,
M.R. Pharmaceutical,MR001012,13/08/2026,CLD Surgical,2,15,2110.0,105.5,2216.0,
M.R. Pharmaceutical,MR000969,07/08/2026,CLD Surgical,2,20,358.0,17.9,376.0,
